#{"t_start": 1627473512.107277, "env_id": null}
r,l,t
0.129966,3,13076.543489
0.196962,3,13083.740271
39.535478,3,13148.920106
5.272249,3,13170.723347
5.013446,3,13195.111915
45.306962,2,13262.094455
27.624043,3,13314.530926
42.719583,3,13388.472909
4.377204,3,13408.965927
12.884562,3,13450.130998
42.048279,3,13530.614859
20.064553,3,13574.474228
11.680133,3,13606.377017
3.65249,3,13623.208275
38.929978,3,13710.977274
7.440617,3,13733.552799
1.752301,3,13745.737289
0.187736,3,13754.242441
0.262201,3,13763.514593
39.769684,3,13835.222986
25.894164,3,13880.249985
41.166573,3,13963.973755
9.892844,3,13994.239217
11.430848,3,14024.436673
2.653097,3,14047.82831
7.088433,3,14082.723625
44.553488,2,14165.23291
8.61156,3,14202.602206
42.18441,2,14285.164589
14.528779,3,14318.164061
2.459054,3,14341.577443
28.77338,3,14394.85281
38.195935,3,14458.654194
0.077201,3,14466.413831
44.903266,2,14537.3272
41.44257,2,14599.945843
2.552873,3,14619.230508
31.38531,3,14674.958917
23.968869,3,14722.976052
42.008996,2,14786.690027
14.182741,3,14817.231558
25.603211,3,14877.800378
1.929129,3,14892.724036
11.515062,3,14921.197955
1.999652,3,14934.802769
43.051555,3,14999.754019
40.100704,1,15064.568815
27.873556,3,15112.777079
9.987955,3,15140.250383
2.628854,3,15158.561458
5.537375,3,15194.675876
3.591483,3,15219.131644
0.844886,3,15235.160909
47.179152,1,15297.296882
0.00692,3,15305.106739
41.96962,3,15378.776067
0.254909,3,15386.504249
0.28465,3,15395.337477
2.623369,3,15412.927336
48.415696,1,15476.769788
9.98919,3,15503.725813
49.149999,1,15569.632107
7.465507,3,15595.321621
15.26578,3,15631.730539
0.178347,3,15640.250191
15.705689,3,15684.438535
1.544561,3,15699.621308
42.599095,2,15763.699034
28.540612,3,15818.273749
14.480771,3,15852.441155
14.863422,3,15895.101444
8.198788,3,15919.249607
16.594013,3,15981.032431
34.616222,3,16046.027947
1.965101,3,16059.804358
43.794664,3,16143.785442
0.175967,3,16152.521717
0.63918,3,16162.179774
43.181463,2,16237.507969
48.252913,1,16300.915344
4.791061,3,16318.813088
7.095162,3,16342.108942
8.557521,3,16366.668025
12.12355,3,16406.541691
45.193553,2,16481.574308
2.463965,3,16496.379477
17.346741,3,16529.12218
4.935945,3,16547.8445
15.072488,3,16580.360286
10.729817,3,16612.911739
5.271999,3,16635.5539
36.121092,3,16702.494475
23.916541,3,16745.776536
44.930294,2,16829.070405
0.091446,3,16836.382217
1.554003,3,16851.163089
0.655974,3,16861.57792
17.074698,3,16898.68792
0.701581,3,16908.527106
16.138565,3,16941.752447
4.677746,3,16960.228359
38.085549,3,17039.464874
2.391801,3,17056.014819
29.701427,3,17108.743126
3.632474,3,17124.378868
8.776227,3,17155.057888
0.443543,3,17164.020085
41.338087,3,17244.784748
10.053318,3,17275.584073
15.403582,3,17314.020383
0.102204,3,17322.829906
13.266306,3,17368.287361
40.997714,2,17436.02679
31.416131,3,17507.896617
17.922711,3,17545.511415
20.782071,3,17593.212126
3.511244,3,17609.321839
44.389723,1,17677.144034
16.15972,3,17715.40014
42.768559,2,17782.248919
41.870192,3,17861.896637
8.954169,3,17893.567372
10.069233,3,17924.604119
0.221012,3,17933.204027
9.515216,3,17961.724744
40.733135,2,18029.633712
9.083975,3,18060.707302
23.305661,3,18109.017253
47.825264,1,18183.909007
9.22146,3,18211.377508
20.139871,3,18255.311629
14.390937,3,18286.662097
47.323542,2,18368.598126
9.886131,3,18405.219377
12.447309,3,18437.795543
40.167387,3,18501.740942
24.737761,3,18548.781768
19.236628,3,18593.208728
15.552243,3,18627.236712
46.788215,1,18698.718827
0.001993,3,18706.492559
39.506472,3,18770.030841
32.808906,3,18836.13221
0.230742,3,18844.212057
26.533454,3,18895.303584
15.215731,3,18935.063731
41.835856,2,18998.063678
27.00277,3,19062.274502
0.106545,3,19070.34061
40.914003,1,19135.014217
0.537977,3,19146.226916
25.141016,3,19196.395301
25.198594,3,19244.363673
0.228211,3,19255.085356
5.261599,3,19275.082861
35.718911,3,19352.089725
16.940276,3,19403.64795
1.778963,3,19421.968645
7.435707,3,19449.177364
0.289398,3,19457.714062
0.089966,3,19465.856153
8.380636,3,19495.059888
25.352049,3,19545.687932
1.839749,3,19557.702856
18.801108,3,19598.916991
7.831245,3,19623.753418
40.670412,3,19706.971421
42.286574,3,19778.669995
22.494193,3,19824.231858
34.034552,3,19891.828
39.482765,3,19965.21533
0.002017,3,19973.328907
7.643253,3,20000.020536
29.358974,3,20060.801754
0.110874,3,20068.804558
45.105865,2,20143.636785
14.25408,3,20175.094302
34.194052,3,20245.062819
16.158787,3,20284.99216
0.299526,3,20293.730369
1.456626,3,20311.8532
18.260043,3,20352.730295
30.447464,3,20403.523058
42.853873,2,20468.835325
6.076278,3,20493.625016
9.938342,3,20523.960428
18.169709,3,20563.317006
6.217296,3,20589.537894
0.185344,3,20599.570735
0.105109,3,20606.881284
20.620104,3,20650.136298
25.434043,3,20702.202353
3.572278,3,20719.061454
47.703076,1,20791.809439
42.431217,2,20858.582876
7.254868,3,20904.653882
46.107349,2,20986.933898
15.376552,3,21022.385489
14.660908,3,21063.683864
11.6036,3,21091.892332
7.287641,3,21127.347811
19.046579,3,21165.997505
21.827035,3,21215.775054
47.816015,1,21288.464217
0.206389,3,21296.782585
0.216683,3,21305.82919
0.126626,3,21314.661851
4.117571,3,21333.6792
4.81078,3,21357.94688
44.200917,2,21422.349818
1.61744,3,21438.277213
3.189637,3,21464.437596
2.993068,3,21495.35663
0.149458,3,21502.910783
3.466583,3,21518.780218
4.178211,3,21538.103864
4.280581,3,21559.284087
7.677348,3,21584.003005
8.18235,3,21608.681261
8.152446,3,21637.120081
3.66454,3,21660.152852
8.475112,3,21690.929612
8.91243,3,21716.129059
12.174054,3,21749.304799
15.030308,3,21789.443653
0.406044,3,21798.877661
9.209994,3,21823.355845
17.148437,3,21872.817171
0.103865,3,21880.867698
6.078162,3,21903.485337
4.594756,3,21924.025783
4.066425,3,21952.360013
36.789797,2,22015.871745
8.234368,3,22041.974266
0.09605,3,22049.029187
17.3263,3,22081.793557
21.498026,3,22125.261637
