#{"t_start": 1627473514.7806098, "env_id": null}
r,l,t
46.877699,1,29189.918686
50.802661,1,29254.558091
39.013743,3,29316.123712
45.41499,1,29382.175541
16.536626,3,29415.822161
46.170619,2,29485.401895
41.090376,3,29553.648157
47.817247,1,29618.796216
6.709259,3,29639.066894
7.270676,3,29662.128788
50.544937,1,29728.24616
20.356497,3,29779.806999
27.024141,3,29840.52269
24.38602,3,29884.862847
23.204977,3,29932.419571
47.498719,1,30000.628478
28.05395,3,30048.573199
45.244172,2,30114.052239
46.724796,1,30178.647057
43.478108,2,30246.399462
30.496059,3,30299.483588
47.627671,1,30364.082151
42.322961,2,30432.59661
16.423415,3,30466.677953
5.907776,3,30491.371756
43.493445,1,30557.48842
48.050191,1,30621.511496
33.448282,3,30674.594361
41.144601,3,30744.104093
23.915563,3,30790.618067
42.89629,2,30856.634398
50.178841,1,30922.489473
18.29965,3,30962.194632
15.335744,3,30994.224292
45.297711,2,31060.10264
46.314794,1,31126.950822
38.343548,3,31187.432982
46.979775,1,31252.281815
43.955817,2,31317.572283
40.897687,2,31385.062632
11.148486,3,31421.20773
41.220216,3,31488.093219
22.921374,3,31531.948216
43.672912,2,31597.804234
44.554111,3,31665.919158
40.518995,3,31732.024081
43.981007,1,31797.829754
10.382589,3,31825.598188
44.265086,2,31890.359618
47.481581,1,31956.759381
42.191695,3,32022.14652
13.469155,3,32053.472262
38.270502,3,32120.740425
45.110397,2,32184.256656
2.121153,3,32198.797233
50.712552,1,32263.83434
41.286572,2,32329.098182
48.247916,2,32393.761939
15.828294,3,32431.170894
43.225226,2,32500.696604
20.05785,3,32538.279983
40.583824,2,32602.76577
33.954303,2,32670.871071
8.10984,3,32703.694179
38.863729,3,32772.09983
50.097359,1,32838.009001
41.900297,2,32902.914831
7.179786,3,32923.765944
35.98565,3,32989.592613
44.701433,2,33056.675176
40.228873,2,33124.573406
49.584506,1,33189.141127
42.328923,2,33254.27106
47.581353,1,33323.097151
36.862081,3,33391.458765
47.821032,2,33456.188509
37.569948,3,33525.776169
48.664609,1,33592.188765
39.299341,3,33657.126436
47.946662,1,33723.708798
20.552946,3,33773.542563
44.055344,2,33840.558582
44.54782,1,33905.443571
7.242923,3,33938.345022
22.02305,3,33982.936352
45.925568,1,34048.977226
38.276098,3,34115.766225
32.988433,3,34175.434129
37.306612,3,34243.583172
36.950494,3,34308.588345
48.270774,1,34378.725942
41.359699,3,34445.268772
44.756214,2,34514.477041
45.522587,1,34578.010147
40.112289,2,34643.460264
43.381209,2,34710.432965
11.323704,3,34738.154367
49.394082,1,34802.944535
25.706703,3,34858.014298
45.054788,1,34928.292197
40.749528,3,34993.393458
6.324254,3,35021.388681
43.110161,3,35100.557933
16.164879,3,35133.049281
39.554278,2,35199.790998
45.226866,2,35265.533318
24.09136,3,35308.268698
45.963684,1,35373.885143
48.409409,1,35440.256631
38.963431,2,35506.041298
26.106983,3,35554.317232
42.164817,2,35618.498315
38.167426,3,35695.375693
43.517131,2,35759.569827
8.464494,3,35788.526578
43.415929,2,35854.989671
47.42332,2,35918.643488
34.010597,3,35991.098154
14.328338,3,36030.040813
39.17288,3,36090.594735
47.498637,1,36155.754589
44.44001,2,36222.819878
44.165292,1,36289.647228
47.953932,1,36355.711133
22.422817,3,36400.938854
44.282674,2,36468.822246
47.293122,1,36533.811007
11.803281,3,36564.951004
50.93331,1,36629.790408
44.681277,2,36694.587335
19.9211,3,36733.558717
48.093322,2,36799.383807
38.861837,2,36866.493383
45.361201,2,36932.62436
38.179696,3,36999.751998
38.498528,3,37078.661973
9.081723,3,37106.666797
38.992142,3,37173.816842
44.675414,2,37240.729592
44.890171,2,37307.645985
46.340758,2,37374.513997
18.138817,3,37416.005967
24.387328,3,37457.824736
2.313704,3,37473.242696
