#{"t_start": 1627555575.9669209, "env_id": null}
r,l,t
0.346712,3,15368.322157
0.28238,3,15379.6463
0.412059,3,15391.991187
6.314281,3,15422.618155
39.410495,2,15505.680816
0.226063,3,15517.12658
10.989084,3,15557.852306
18.80412,3,15604.422818
6.321923,3,15630.881612
22.081863,3,15692.871903
3.7348,3,15721.258179
11.943432,3,15782.739552
8.852361,3,15822.166856
8.841858,3,15850.150121
0.312324,3,15862.333204
36.80712,3,15936.283385
11.417681,3,15984.177435
0.359154,3,15995.917937
5.234396,3,16018.580174
0.695216,3,16032.615781
34.234329,3,16099.136189
11.883863,3,16138.070514
0.2029,3,16149.443647
0.406679,3,16161.309764
0.571942,3,16176.651124
13.834135,3,16212.50316
32.285508,3,16286.215788
19.900283,3,16337.096646
0.181875,3,16348.223218
0.225969,3,16360.303545
19.468583,3,16411.25492
19.447556,3,16461.814284
0.010627,3,16473.1451
46.349148,1,16536.843184
19.981259,3,16580.708091
13.680086,3,16620.760396
0.806431,3,16636.682733
14.144796,3,16678.534782
0.226601,3,16689.672544
11.465034,3,16725.861965
20.368065,3,16789.681276
11.520444,3,16823.41579
0.189401,3,16846.079218
0.260438,3,16858.30697
30.719603,3,16929.308512
24.276198,3,16980.510382
3.553674,3,17001.686628
1.119644,3,17018.559883
23.534729,3,17069.592129
15.037422,3,17113.720714
18.704396,3,17156.91731
15.959883,3,17198.700368
4.469271,3,17221.170753
0.213548,3,17234.472663
1.991149,3,17253.369537
11.905577,3,17289.220821
22.735477,3,17346.05886
10.966315,3,17381.478183
0.161873,3,17393.182642
0.088696,3,17403.81723
21.712394,3,17467.77461
6.751674,3,17495.481999
22.800761,3,17543.20258
3.303739,3,17567.554003
2.973992,3,17605.781724
24.679329,3,17658.190089
0.950678,3,17672.881722
0.336904,3,17686.439964
27.128048,3,17745.612616
0.140606,3,17757.028485
34.710129,3,17828.695365
13.814144,3,17863.833951
39.779911,3,17938.229902
0.090243,3,17948.585233
10.766378,3,17984.428043
39.447326,3,18054.258389
0.252298,3,18066.160911
13.394176,3,18103.282693
39.031817,3,18169.665643
23.550426,3,18218.394265
20.199386,3,18271.194175
13.05612,3,18303.500958
0.199186,3,18314.479208
6.599911,3,18337.46262
18.70499,3,18379.651751
7.523412,3,18427.69049
0.17108,3,18437.565086
12.913147,3,18486.868281
16.980351,3,18535.197387
0.214892,3,18546.821229
14.693004,3,18583.814572
10.869278,3,18614.372425
19.8848,3,18663.159666
0.155718,3,18673.667737
0.136569,3,18685.317586
4.621473,3,18708.60051
39.65735,2,18774.747708
10.710638,3,18810.55046
14.456499,3,18851.861138
0.65153,3,18864.191771
20.042732,3,18906.010055
15.372269,3,18953.98694
11.317926,3,18987.19984
0.135824,3,18998.653659
0.090149,3,19008.905681
45.91901,2,19093.472957
8.263227,3,19119.547361
0.377548,3,19131.188861
19.045888,3,19180.159792
21.937437,3,19232.654332
29.405055,3,19296.230904
0.278774,3,19307.911878
34.509171,3,19377.541284
0.137078,3,19388.622968
0.162426,3,19400.772092
11.868574,3,19436.046725
5.79199,3,19467.020527
32.171975,3,19541.511191
0.093238,3,19552.819235
34.148054,3,19617.337408
0.171433,3,19627.995844
0.102048,3,19639.871652
25.991899,3,19689.698048
11.467399,3,19720.904332
38.630453,3,19791.66826
11.615297,3,19825.151288
0.900256,3,19839.524846
13.95389,3,19874.169385
0.012471,3,19885.522914
4.846397,3,19908.410358
8.435528,3,19940.638349
1.689621,3,19976.3113
0.160494,3,19987.91205
39.556798,3,20060.860348
12.99729,3,20111.785888
0.184823,3,20124.550939
6.418816,3,20148.188887
17.084021,3,20192.881827
11.837657,3,20225.886755
0.580619,3,20246.105912
3.596802,3,20265.247715
35.376856,3,20328.290244
27.441481,3,20418.925301
43.337919,2,20484.935723
34.771582,3,20567.187199
5.982129,3,20593.267208
28.991677,3,20657.12123
4.281841,3,20680.252409
37.993587,3,20745.356964
12.535859,3,20788.938867
8.84117,3,20820.04447
40.409419,3,20893.62075
5.955754,3,20918.244393
0.691928,3,20931.941722
15.299102,3,20977.722287
0.184245,3,20989.772458
25.636638,3,21044.221863
48.689445,1,21128.48388
37.865353,3,21201.272484
11.552969,3,21236.031337
25.898304,3,21293.29419
13.214897,3,21330.655085
4.731321,3,21352.774527
45.68467,1,21423.249852
0.179837,3,21433.591228
0.003265,3,21443.857788
0.295525,3,21455.95632
16.050794,3,21498.081164
9.400543,3,21530.979956
0.198853,3,21541.912619
19.460187,3,21589.373343
43.022289,2,21661.497259
16.493677,3,21708.202198
0.038894,3,21719.540871
0.155454,3,21731.810227
6.428248,3,21759.935824
46.03386,1,21845.920416
41.246273,3,21924.503158
6.786215,3,21967.726387
0.105264,3,21978.297315
11.791582,3,22014.867877
5.005164,3,22042.150218
21.988134,3,22099.253332
1.071707,3,22121.629676
0.126629,3,22133.811765
21.969184,3,22179.567082
5.984757,3,22203.459345
6.466307,3,22228.610128
6.058698,3,22257.249407
0.110854,3,22267.752718
7.35781,3,22299.68173
23.346401,3,22350.30551
28.962225,3,22410.635253
43.059483,3,22502.774126
0.216658,3,22514.836846
